iter	Passed	Remaining
0	1	118
1	2	143
2	5	167
3	6	148
4	9	180
5	10	162
6	11	147
7	11	136
8	12	127
9	13	120
10	14	114
11	15	114
12	16	109
13	17	105
14	23	130
15	23	124
16	24	119
17	25	115
18	26	112
19	27	108
20	28	105
21	28	102
22	29	99
23	30	97
24	31	94
25	32	91
26	33	90
27	34	89
28	36	90
29	38	88
30	39	87
31	39	84
32	40	82
33	41	80
34	42	78
35	42	76
36	43	74
37	44	72
38	45	70
39	45	68
40	46	66
41	46	64
42	47	63
43	50	64
44	51	62
45	51	60
46	52	59
47	53	57
48	53	55
49	54	54
50	55	52
51	55	51
52	56	50
53	57	48
54	57	47
55	58	45
56	59	44
57	60	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	38
63	67	37
64	68	36
65	68	35
66	69	34
67	69	32
68	70	31
69	71	30
70	71	29
71	72	28
72	73	27
73	73	25
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	83	20
80	84	19
81	85	18
82	86	17
83	86	16
84	87	15
85	87	14
86	88	13
87	89	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	96	5
95	97	4
96	98	3
97	98	2
98	99	1
99	99	0
