iter	RMSE
0	41.02531761
1	39.72928154
2	38.4704298
3	37.29737282
4	36.21645173
5	35.16399325
6	34.08667142
7	33.07129793
8	32.04542802
9	31.0754926
10	30.15610466
11	29.35314228
12	28.4710486
13	27.67826784
14	26.84666103
15	26.03415452
16	25.2907379
17	24.59586897
18	23.96201099
19	23.25680591
20	22.64248911
21	21.97381049
22	21.36633923
23	20.74502791
24	20.14104712
25	19.61336167
26	19.11183436
27	18.5923912
28	18.10224192
29	17.64302551
30	17.17584254
31	16.73738494
32	16.29745421
33	15.86078251
34	15.48011891
35	15.09521631
36	14.76898229
37	14.40378519
38	14.0578194
39	13.72419963
40	13.38692701
41	13.11680644
42	12.83935736
43	12.57219234
44	12.28291335
45	12.02047559
46	11.77885126
47	11.53683016
48	11.30997152
49	11.10192216
50	10.87916462
51	10.65626138
52	10.44860587
53	10.24271318
54	10.05983915
55	9.886188317
56	9.712005057
57	9.541102297
58	9.390812113
59	9.236382038
60	9.092710495
61	8.9301397
62	8.803143477
63	8.668371883
64	8.535559661
65	8.401307322
66	8.292522831
67	8.175191985
68	8.053746924
69	7.937252723
70	7.839747514
71	7.750170086
72	7.641268812
73	7.546716784
74	7.460026128
75	7.379156992
76	7.304003137
77	7.240867826
78	7.169130531
79	7.116141447
80	7.046614718
81	6.986244477
82	6.917379679
83	6.875231364
84	6.817337117
85	6.758641409
86	6.709059592
87	6.660238008
88	6.602862404
89	6.558841136
90	6.519959877
91	6.477290878
92	6.436632841
93	6.401806648
94	6.375440559
95	6.331673948
96	6.298655937
97	6.259727534
98	6.227102392
99	6.19794443
100	6.170955441
101	6.139639748
102	6.109829215
103	6.080301064
104	6.053379041
105	6.024879212
106	5.997163627
107	5.971651029
108	5.948160073
109	5.927704224
110	5.907344845
111	5.886663878
112	5.867597039
113	5.849913772
114	5.830577838
115	5.810336528
116	5.788280946
117	5.77209738
118	5.7552822
119	5.739175326
120	5.724506684
121	5.712236849
122	5.694339709
123	5.681903656
124	5.667525168
125	5.661073572
126	5.649541367
127	5.638611113
128	5.620558407
129	5.611011771
130	5.607064405
131	5.594279567
132	5.581378831
133	5.56377471
134	5.5552494
135	5.543251947
136	5.533635998
137	5.522072445
138	5.515457856
139	5.500793562
140	5.491741539
141	5.482492924
142	5.473052493
143	5.466682101
144	5.458164773
145	5.451976244
146	5.445171049
147	5.435123545
148	5.424514642
149	5.416836386
150	5.409210805
151	5.40323546
152	5.38622673
153	5.378341428
154	5.374015175
155	5.365725135
156	5.356857973
157	5.346701646
158	5.336773493
159	5.328818327
160	5.321493305
161	5.313529904
162	5.307369733
163	5.297618935
164	5.293434398
165	5.287687936
166	5.278318104
167	5.270323276
168	5.261573629
169	5.25517999
170	5.247131306
171	5.2422441
172	5.238128724
173	5.232008023
174	5.224249924
175	5.217147797
176	5.213755568
177	5.208668233
178	5.202817226
179	5.198491385
180	5.194538723
181	5.188694239
182	5.184793998
183	5.175946908
184	5.167922254
185	5.163126608
186	5.158748689
187	5.155145338
188	5.149124372
189	5.142788086
190	5.136557242
191	5.131709042
192	5.124265305
193	5.114946563
194	5.108639511
195	5.102137204
196	5.099000394
197	5.095494163
198	5.08989406
199	5.084289671
200	5.079705244
201	5.073830561
202	5.065283801
203	5.058432687
204	5.05567222
205	5.052305709
206	5.046301135
207	5.041268759
208	5.038985458
209	5.032578595
210	5.027003362
211	5.022435421
212	5.01727415
213	5.014619917
214	5.009980506
215	5.006448754
216	4.999822219
217	4.993659381
218	4.989379725
219	4.982884556
220	4.97554877
221	4.97087395
222	4.964380126
223	4.958163935
224	4.953889614
225	4.950593504
226	4.947650658
227	4.94226224
228	4.937053077
229	4.933936596
230	4.929310622
231	4.923572203
232	4.919008157
233	4.913549962
234	4.908446559
235	4.905716385
236	4.903155408
237	4.898938507
238	4.892773367
239	4.890066061
240	4.885765893
241	4.87656268
242	4.869984904
243	4.865537718
244	4.862290561
245	4.860161052
246	4.854398886
247	4.849226266
248	4.843591232
249	4.840178231
250	4.833018601
251	4.828384113
252	4.820250286
253	4.817842389
254	4.812651626
255	4.806534495
256	4.799733069
257	4.794979285
258	4.789566567
259	4.787634438
260	4.784990961
261	4.781387989
262	4.77752558
263	4.774533544
264	4.769254435
265	4.765864306
266	4.758603278
267	4.755745194
268	4.751554392
269	4.746621616
270	4.744434985
271	4.740115873
272	4.733957303
273	4.730119083
274	4.727095413
275	4.722620731
276	4.716155123
277	4.71177217
278	4.708367767
279	4.702228569
280	4.700424112
281	4.694219188
282	4.690989541
283	4.686948571
284	4.683743315
285	4.680708756
286	4.677612426
287	4.675092099
288	4.667462652
289	4.664528657
290	4.656595125
291	4.653718229
292	4.647817067
293	4.646492672
294	4.644136752
295	4.639100818
296	4.633929265
297	4.628352576
298	4.62194138
299	4.618711236
300	4.611719626
301	4.605801769
302	4.600452815
303	4.598100033
304	4.592727646
305	4.590050013
306	4.585083389
307	4.582405023
308	4.576988454
309	4.575404526
310	4.572807849
311	4.570506533
312	4.564772116
313	4.559640987
314	4.552060118
315	4.548867968
316	4.546876601
317	4.541956871
318	4.537800094
319	4.532163798
320	4.52893754
321	4.524040971
322	4.523435058
323	4.518801514
324	4.514468314
325	4.510470628
326	4.507213173
327	4.505167041
328	4.500976457
329	4.495789741
330	4.495180291
331	4.490588792
332	4.489928752
333	4.486186997
334	4.480170633
335	4.477636935
336	4.472262885
337	4.468117757
338	4.46517424
339	4.461010211
340	4.455362867
341	4.454705654
342	4.449777366
343	4.446596753
344	4.44592285
345	4.439365917
346	4.435436632
347	4.431657127
348	4.423337155
349	4.419638499
350	4.412673899
351	4.411283409
352	4.405772326
353	4.402280898
354	4.40186968
355	4.399763601
356	4.395278598
357	4.391119015
358	4.385928238
359	4.385215677
360	4.379335604
361	4.376627093
362	4.371644827
363	4.368714642
364	4.364817544
365	4.363375514
366	4.362077688
367	4.357161615
368	4.350811471
369	4.347856978
370	4.343556446
371	4.338745413
372	4.334598948
373	4.3330448
374	4.330476074
375	4.329075529
376	4.326676864
377	4.32147153
378	4.315844685
379	4.310358396
380	4.308330202
381	4.306640555
382	4.302003378
383	4.296116777
384	4.290710595
385	4.289584918
386	4.286819855
387	4.279713313
388	4.275068218
389	4.268947947
390	4.265429358
391	4.264327049
392	4.257707881
393	4.257238187
394	4.253011085
395	4.251855784
396	4.24911813
397	4.247272468
398	4.243326707
399	4.238842776
400	4.234899949
401	4.231011762
402	4.227522122
403	4.22393543
404	4.223117105
405	4.220460103
406	4.219233903
407	4.215730165
408	4.211884224
409	4.207386039
410	4.202241729
411	4.196214068
412	4.194969446
413	4.191329569
414	4.187875395
415	4.184212304
416	4.178845661
417	4.175370653
418	4.172264092
419	4.167970825
420	4.163512117
421	4.160467348
422	4.157018719
423	4.155666352
424	4.152136991
425	4.146814096
426	4.144844025
427	4.140169614
428	4.136329678
429	4.131753166
430	4.125883689
431	4.123058919
432	4.119393169
433	4.1153022
434	4.114149833
435	4.109263978
436	4.104368752
437	4.102503414
438	4.099190614
439	4.09477615
440	4.091396919
441	4.086763682
442	4.086628122
443	4.083495667
444	4.079482732
445	4.077401996
446	4.074631328
447	4.072125723
448	4.070122908
449	4.070026066
450	4.0653417
451	4.060284891
452	4.057099377
453	4.052225353
454	4.04990403
455	4.048164911
456	4.045940767
457	4.043342402
458	4.041554517
459	4.040324566
460	4.036889091
461	4.03533129
462	4.03302336
463	4.032156682
464	4.029791408
465	4.027450321
466	4.023765942
467	4.020697111
468	4.015045712
469	4.010294835
470	4.008212838
471	4.005031767
472	4.001274803
473	4.000176211
474	3.996274126
475	3.993282181
476	3.991335871
477	3.98601902
478	3.981304403
479	3.978652491
480	3.977115228
481	3.97461564
482	3.973972733
483	3.969494423
484	3.966156637
485	3.962299116
486	3.957870202
487	3.957752435
488	3.955483015
489	3.955191645
490	3.953129762
491	3.951145656
492	3.950661505
493	3.948564452
494	3.945626384
495	3.944703354
496	3.942790243
497	3.939645605
498	3.93837412
499	3.937221805
500	3.932558865
501	3.93002142
502	3.928331762
503	3.926245831
504	3.924890547
505	3.922762905
506	3.919475831
507	3.919280694
508	3.916975321
509	3.916868425
510	3.912256416
511	3.910932239
512	3.910806754
513	3.907288572
514	3.90627596
515	3.902880064
516	3.899616632
517	3.895992687
518	3.8928479
519	3.891899455
520	3.889486399
521	3.888731308
522	3.88814565
523	3.884140348
524	3.882029619
525	3.881902631
526	3.878380522
527	3.875380709
528	3.872354376
529	3.870076667
530	3.867179208
531	3.862915234
532	3.860973475
533	3.859597969
534	3.855639036
535	3.853311796
536	3.85268912
537	3.847841918
538	3.843106262
539	3.841039304
540	3.838811008
541	3.83603008
542	3.833159457
543	3.831121356
544	3.830763849
545	3.830442435
546	3.827120775
547	3.825329356
548	3.824798621
549	3.822279006
550	3.820147793
551	3.820049484
552	3.819435716
553	3.816989298
554	3.816905387
555	3.814100378
556	3.81214377
557	3.808576053
558	3.805257244
559	3.800568846
560	3.799157386
561	3.798847193
562	3.79603052
563	3.795509673
564	3.793351921
565	3.789642673
566	3.786784144
567	3.784559147
568	3.782438357
569	3.778491933
570	3.777175531
571	3.77369547
572	3.771167455
573	3.769399803
574	3.766726051
575	3.764197834
576	3.761690237
577	3.759096059
578	3.757286694
579	3.7541675
580	3.751027861
581	3.748469432
582	3.746610886
583	3.746101427
584	3.743232794
585	3.739283793
586	3.737085
587	3.734618501
588	3.73387802
589	3.730067969
590	3.727248254
591	3.724450776
592	3.720839956
593	3.716655501
594	3.716295014
595	3.714042344
596	3.712863917
597	3.710984723
598	3.708607665
599	3.706450918
600	3.705237636
601	3.702581016
602	3.699477796
603	3.696555529
604	3.69500984
605	3.693093126
606	3.691296863
607	3.688210312
608	3.685837999
609	3.682756337
610	3.68030275
611	3.677711356
612	3.675014067
613	3.672838963
614	3.67275741
615	3.668730037
616	3.664499188
617	3.661016629
618	3.659287715
619	3.655332425
620	3.650095908
621	3.649638022
622	3.645864025
623	3.643257157
624	3.641407184
625	3.639713878
626	3.639160156
627	3.63517823
628	3.631061121
629	3.630879548
630	3.629147057
631	3.627435873
632	3.624596127
633	3.622268414
634	3.619810005
635	3.617402118
636	3.616624556
637	3.613216487
638	3.610593871
639	3.609349734
640	3.606435233
641	3.605890483
642	3.603691313
643	3.603505612
644	3.601787305
645	3.598681126
646	3.59664137
647	3.596413755
648	3.594640483
649	3.592900838
650	3.592036766
651	3.589967993
652	3.589567842
653	3.585397136
654	3.583711454
655	3.580473908
656	3.579182426
657	3.576760333
658	3.576273748
659	3.574719514
660	3.571009035
661	3.56892298
662	3.566618727
663	3.565043774
664	3.563041363
665	3.559999278
666	3.557591611
667	3.55577516
668	3.553576584
669	3.552571307
670	3.550703256
671	3.547263911
672	3.546899938
673	3.54623225
674	3.543822193
675	3.540090369
676	3.53897461
677	3.537104334
678	3.534987909
679	3.533503401
680	3.529862024
681	3.526729712
682	3.5240556
683	3.521457881
684	3.518768041
685	3.517446692
686	3.514999577
687	3.511750072
688	3.511365059
689	3.509277612
690	3.507374596
691	3.505937767
692	3.503929287
693	3.503069954
694	3.502246803
695	3.498547527
696	3.497193244
697	3.496876922
698	3.493307952
699	3.491040543
700	3.490510554
701	3.486642114
702	3.48462237
703	3.483533302
704	3.480347602
705	3.479908066
706	3.47765583
707	3.476201868
708	3.474711892
709	3.473394556
710	3.471442419
711	3.468399706
712	3.464868751
713	3.461822798
714	3.461553523
715	3.460327497
716	3.459851789
717	3.458291006
718	3.457308464
719	3.456402569
720	3.453783157
721	3.452542635
722	3.45035893
723	3.447930013
724	3.446408581
725	3.443482918
726	3.441706565
727	3.440902521
728	3.440083264
729	3.438448866
730	3.436481796
731	3.435543352
732	3.434396783
733	3.433481351
734	3.431596643
735	3.428749792
736	3.426567411
737	3.424797564
738	3.42370151
739	3.422879137
740	3.420659879
741	3.418477569
742	3.416166472
743	3.41451468
744	3.411122673
745	3.410918216
746	3.410166912
747	3.409999069
748	3.408564211
749	3.407039009
750	3.404295604
751	3.403133632
752	3.39860218
753	3.398213448
754	3.396308194
755	3.395223892
756	3.391810119
757	3.38957152
758	3.387166177
759	3.384211089
760	3.384024706
761	3.381241141
762	3.379023799
763	3.378580375
764	3.377980989
765	3.3777144
766	3.376416688
767	3.375406241
768	3.373649727
769	3.372236934
770	3.370997639
771	3.369553952
772	3.365815148
773	3.364742113
774	3.361963998
775	3.36053839
776	3.359284414
777	3.35682182
778	3.355464863
779	3.354120413
780	3.352238656
781	3.351074004
782	3.348825485
783	3.346738029
784	3.345539763
785	3.342594642
786	3.339925274
787	3.337080263
788	3.336718116
789	3.334838979
790	3.331902532
791	3.329241311
792	3.328188169
793	3.327243132
794	3.324472436
795	3.321368457
796	3.320310439
797	3.318350509
798	3.315874063
799	3.31424782
800	3.31270394
